#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 11 25 18 24  90  1.0  1.5    MM    MM    MM  MM 1020.6  13.1  13.1    MM   MM   MM    MM
2019 11 25 18 18  80  1.5  1.5    MM    MM    MM  MM 1020.6  12.9  13.1    MM   MM   MM    MM
2019 11 25 18 12  80  1.5  2.1    MM    MM    MM  MM 1020.6  12.8  13.1    MM   MM   MM    MM
2019 11 25 18 06  80  1.5  1.5    MM    MM    MM  MM 1020.7  12.9  13.1    MM   MM   MM    MM
2019 11 25 18 00  70  1.5  1.5    MM    MM    MM  MM 1020.8  12.9  13.1    MM   MM +1.8    MM
2019 11 25 17 54  60  1.5  1.5    MM    MM    MM  MM 1020.8  12.9  13.1    MM   MM   MM    MM
2019 11 25 17 48  60  1.0  1.5    MM    MM    MM  MM 1020.8  12.9  13.1    MM   MM   MM    MM
2019 11 25 17 42  70  1.0  1.5    MM    MM    MM  MM 1020.6  13.1  13.1    MM   MM   MM    MM
2019 11 25 17 36  70  1.0  1.5    MM    MM    MM  MM 1020.5  13.1  13.1    MM   MM   MM    MM
2019 11 25 17 30  40  1.0  1.0    MM    MM    MM  MM 1020.4  13.2  13.1    MM   MM   MM    MM
2019 11 25 17 24 290  1.0  2.6    MM    MM    MM  MM 1020.3  12.9  13.1    MM   MM   MM    MM
2019 11 25 17 18  MM  0.0  1.0    MM    MM    MM  MM 1020.2  12.9  13.1    MM   MM   MM    MM
2019 11 25 17 12  MM  0.0  2.1    MM    MM    MM  MM 1020.1  12.9  13.1    MM   MM   MM    MM
2019 11 25 17 06 220  0.5  1.0    MM    MM    MM  MM 1020.1  13.5  13.1    MM   MM   MM    MM
2019 11 25 17 00 130  0.5  1.0    MM    MM    MM  MM 1020.1  13.5  13.1    MM   MM +1.6    MM
2019 11 25 16 54  MM  0.0  1.0    MM    MM    MM  MM 1020.1  13.2  13.1    MM   MM   MM    MM
2019 11 25 16 48 150  0.5  1.0    MM    MM    MM  MM 1020.0  12.5  13.1    MM   MM   MM    MM
2019 11 25 16 42 150  1.0  1.5    MM    MM    MM  MM 1019.9  12.2  13.1    MM   MM   MM    MM
2019 11 25 16 36 140  1.0  1.5    MM    MM    MM  MM 1020.0  11.9  13.1    MM   MM   MM    MM
2019 11 25 16 30 180  1.0  1.5    MM    MM    MM  MM 1020.1  11.8  13.1    MM   MM   MM    MM
2019 11 25 16 24 150  1.0  1.5    MM    MM    MM  MM 1020.1  11.9  13.1    MM   MM   MM    MM
2019 11 25 16 18 170  1.0  1.5    MM    MM    MM  MM 1019.9  11.5  13.1    MM   MM   MM    MM
2019 11 25 16 12 200  1.5  2.1    MM    MM    MM  MM 1019.8  11.0  13.1    MM   MM   MM    MM
2019 11 25 16 06 190  1.5  1.5    MM    MM    MM  MM 1019.9  10.9  13.1    MM   MM   MM    MM
2019 11 25 16 00 190  1.0  1.5    MM    MM    MM  MM 1020.1  10.9  13.1    MM   MM   MM    MM
2019 11 25 15 54 180  1.0  2.6    MM    MM    MM  MM 1019.9  10.6  13.1    MM   MM   MM    MM
2019 11 25 15 48 190  2.1  2.1    MM    MM    MM  MM 1019.8  10.1  13.1    MM   MM   MM    MM
2019 11 25 15 42 210  1.5  2.6    MM    MM    MM  MM 1019.9   9.7  13.1    MM   MM   MM    MM
2019 11 25 15 36 190  2.1  2.1    MM    MM    MM  MM 1019.8   9.5  13.1    MM   MM   MM    MM
2019 11 25 15 30 220  1.5  2.6    MM    MM    MM  MM 1019.6   9.2  13.1    MM   MM   MM    MM
2019 11 25 15 24 200  2.1  2.6    MM    MM    MM  MM 1019.5   9.1  13.1    MM   MM   MM    MM
2019 11 25 15 18 200  2.6  2.6    MM    MM    MM  MM 1019.3   9.1  13.1    MM   MM   MM    MM
2019 11 25 15 12 190  2.6  2.6    MM    MM    MM  MM 1019.3   9.1  13.1    MM   MM   MM    MM
2019 11 25 15 06 200  2.1  2.6    MM    MM    MM  MM 1019.3   9.1  13.1    MM   MM   MM    MM
2019 11 25 15 00 200  2.6  3.1    MM    MM    MM  MM 1019.0   9.1  13.1    MM   MM   MM    MM
2019 11 25 14 54 200  2.6  3.1    MM    MM    MM  MM 1019.1   8.9  13.1    MM   MM   MM    MM
2019 11 25 14 48 210  1.5  2.6    MM    MM    MM  MM 1019.2   9.0  13.1    MM   MM   MM    MM
2019 11 25 14 42 210  2.1  2.6    MM    MM    MM  MM 1019.1   9.0  13.1    MM   MM   MM    MM
2019 11 25 14 36 220  1.5  2.1    MM    MM    MM  MM 1018.9   8.9  13.0    MM   MM   MM    MM
2019 11 25 14 30 180  1.5  2.1    MM    MM    MM  MM 1018.8   8.8  13.0    MM   MM   MM    MM
2019 11 25 14 24 210  2.1  2.1    MM    MM    MM  MM 1018.7   9.1  13.0    MM   MM   MM    MM
2019 11 25 14 18 220  1.5  2.1    MM    MM    MM  MM 1018.6   9.1  13.0    MM   MM   MM    MM
2019 11 25 14 12 200  1.0  2.1    MM    MM    MM  MM 1018.4   9.0  13.0    MM   MM   MM    MM
2019 11 25 14 06 160  1.0  2.6    MM    MM    MM  MM 1018.4   9.5  13.0    MM   MM   MM    MM
2019 11 25 14 00 200  2.6  3.6    MM    MM    MM  MM 1018.5   9.6  13.1    MM   MM +0.7    MM
2019 11 25 13 54 200  2.1  2.6    MM    MM    MM  MM 1018.5   9.7  13.1    MM   MM   MM    MM
2019 11 25 13 48 210  2.6  2.6    MM    MM    MM  MM 1018.5   9.8  13.1    MM   MM   MM    MM
2019 11 25 13 42 200  2.1  2.6    MM    MM    MM  MM 1018.5   9.6  13.1    MM   MM   MM    MM
2019 11 25 13 36 210  2.1  2.6    MM    MM    MM  MM 1018.3   9.2  13.0    MM   MM   MM    MM
2019 11 25 13 30 230  2.1  2.1    MM    MM    MM  MM 1018.3   9.2  13.0    MM   MM   MM    MM
2019 11 25 12 54 220  1.5  2.6    MM    MM    MM  MM 1018.3   9.6  13.0    MM   MM   MM    MM
2019 11 25 12 48 190  2.1  2.1    MM    MM    MM  MM 1017.9   9.9  13.0    MM   MM   MM    MM
2019 11 25 12 42 200  1.0  1.5    MM    MM    MM  MM 1018.1    MM  13.0    MM   MM   MM    MM
2019 11 25 12 30 180  1.0  1.0    MM    MM    MM  MM 1018.0  10.4  13.0    MM   MM   MM    MM
2019 11 25 11 24 230  2.1  3.6    MM    MM    MM  MM 1017.5  10.8  13.1    MM   MM   MM    MM
2019 11 25 11 12 150  0.5  1.5    MM    MM    MM  MM 1017.6  10.7  13.1    MM   MM   MM    MM
2019 11 25 11 00 170  1.0  1.0    MM    MM    MM  MM 1017.8  10.7  13.1    MM   MM -1.2    MM
2019 11 25 10 54 290  0.5  1.0    MM    MM    MM  MM 1017.9    MM  13.1    MM   MM   MM    MM
2019 11 25 10 48 220  0.5  2.1    MM    MM    MM  MM 1017.8    MM  13.1    MM   MM   MM    MM
2019 11 25 10 42 230  1.5  2.6    MM    MM    MM  MM 1017.7    MM  13.1    MM   MM   MM    MM
2019 11 25 10 36 220  1.5  3.1    MM    MM    MM  MM 1017.8  10.8  13.1    MM   MM   MM    MM
2019 11 25 10 30 240  1.5  2.6    MM    MM    MM  MM 1017.9  10.8  13.1    MM   MM   MM    MM
2019 11 25 10 24 240  1.5  3.1    MM    MM    MM  MM 1018.3  10.9  13.1    MM   MM   MM    MM
2019 11 25 10 18 220  2.1  3.6    MM    MM    MM  MM 1018.4  10.7  13.1    MM   MM   MM    MM
2019 11 25 10 12 200  1.5  2.6    MM    MM    MM  MM 1018.5  10.8  13.1    MM   MM   MM    MM
2019 11 25 10 06 250  1.5  2.6    MM    MM    MM  MM 1018.7  10.8  13.1    MM   MM   MM    MM
2019 11 25 10 00 270  1.5  2.1    MM    MM    MM  MM 1018.5  10.8  13.1    MM   MM -0.4    MM
